Sentence #,Standard_Bangla
376,আপনাদের কি শুক্রবার সকালে সময় হবে
377,যদি আমি ভুল করি তাহলে আমাকে দয়া করে শুধরে দিবেন
378,আমি কি শুধু একটা জিনিস বলতে পারি দয়া করে
379,আপনার কোনো প্রশ্ন আছে
380,একটা কথাও আর বলবে না
381,আপনারা যারা আমাকে এখনো চিনেন না
382,তিনি আমার সাথে দেখা করলেন
383,আমি পাঁচ বছর চাকরি করেছিলাম
384,আমার কিন্তু সোভিয়েত দেশ ভালো লাগত
385,অনেকগুলো রাশিয়ান শব্দ শিখেছিলাম
386,হঠাৎ শীত করে উঠল আমার
387,বিছানায় শুয়ে টিভি দেখছিলাম
388,কিছু মনে করবেন না আপনাকে একটা কথা বলব
389,আমরাই কিছু বুঝতাম না
390,সে রকম বাজে ছেলের পাল্লায় পড়লে সর্বনাশ হয়ে যেত
391,একটি ছোট্ট গ্রামে একজন মেয়ে ছিল
392,মেয়েটির একজন ভালো বন্ধু ছিল
393,তাঁদের প্রতিদিন একসাথে খেলা করতে পছন্দ ছিল
394,আমরা সেখানে অনেক মজা করব
395,তারা একটি দূর পাহাড়ের দিকে যাবার পথে একটি পুকুর দেখল
396,পুকুরে খুবই সুন্দর একটি পাখি দেখতে পেলো
397,আমরা তো পাখির মতো উড়তে পারিনা
398,আমার দাঁত অনেক ব্যথা করছে
